origin_id,destine_id,weight
001-001,001-001,15562
001-001,001-002,4
001-001,001-005,47
001-001,001-006,6
001-001,001-007,4
001-001,001-008,1
001-001,001-010,14
001-001,001-011,1
001-001,001-999,2
001-001,009-002,1
001-001,009-005,1
001-001,009-012,1
001-001,009-014,1
001-001,009-015,1
001-001,009-999,5
001-001,011-015,3
001-001,011-017,3
001-001,011-020,3
001-001,011-037,1
001-001,014-035,3
001-001,014-039,8
001-001,014-053,3
001-001,014-091,3
001-001,014-093,2
001-001,014-120,1
001-001,014-999,2
001-001,015-106,2
001-001,015-121,1
001-001,015-999,3
001-001,018-017,1
001-001,019-039,1
001-001,020-067,1
001-001,022-014,1
001-001,024-028,2
001-001,026-999,1
001-001,030-087,3
001-001,032-010,1
001-001,032-017,1
001-001,032-052,3
001-001,032-056,7
001-001,999-999,397
001-002,001-001,119
001-002,001-002,3884
001-002,001-006,26
001-002,001-007,31
001-002,001-009,4
001-002,001-010,42
001-002,001-011,1
001-002,001-999,5
001-002,010-005,1
001-002,015-099,1
001-002,032-010,1
001-002,032-017,2
001-002,032-024,73
001-002,032-052,11
001-002,032-056,11
001-002,032-999,1
001-002,999-999,204
001-003,001-001,73
001-003,001-003,3516
001-003,001-005,2
001-003,001-010,1
001-003,001-999,2
001-003,009-999,1
001-003,014-039,1
001-003,014-120,1
001-003,032-019,2
001-003,032-034,1
001-003,032-049,1
001-003,032-056,2
001-003,999-999,120
001-004,001-001,95
001-004,001-004,2429
001-004,001-006,6
001-004,001-007,134
001-004,001-009,8
001-004,001-010,2
001-004,001-011,1
001-004,001-999,4
001-004,010-013,1
001-004,015-999,1
001-004,032-013,1
001-004,032-017,3
001-004,032-024,2
001-004,032-025,3
001-004,032-036,1
001-004,032-056,12
001-004,999-999,46
001-005,001-001,1065
001-005,001-003,6
001-005,001-004,1
001-005,001-005,4016
001-005,001-006,5
001-005,001-007,17
001-005,001-010,1
001-005,001-011,34
001-005,001-999,4
001-005,009-999,2
001-005,011-999,1
001-005,014-015,1
001-005,014-035,1
001-005,032-034,1
001-005,999-999,118
001-006,001-001,249
001-006,001-005,14
001-006,001-006,3971
001-006,001-007,127
001-006,001-008,10
001-006,001-009,4
001-006,001-011,197
001-006,001-999,1
001-006,014-039,1
001-006,014-093,1
001-006,015-999,1
001-006,018-017,1
001-006,029-033,1
001-006,032-024,1
001-006,032-036,1
001-006,032-056,10
001-006,999-999,30
001-007,001-001,149
001-007,001-004,14
001-007,001-005,3
001-007,001-006,58
001-007,001-007,4581
001-007,001-008,27
001-007,001-009,32
001-007,001-011,4
001-007,001-999,1
001-007,011-020,3
001-007,014-039,3
001-007,018-017,1
001-007,032-024,1
001-007,032-025,1
001-007,032-036,1
001-007,032-056,5
001-007,999-999,140
001-008,001-001,94
001-008,001-006,46
001-008,001-007,42
001-008,001-008,1710
001-008,001-011,9
001-008,011-015,1
001-008,016-102,1
001-008,032-025,1
001-008,032-056,16
001-008,999-999,54
001-009,001-001,60
001-009,001-002,16
001-009,001-004,2
001-009,001-005,1
001-009,001-006,50
001-009,001-007,153
001-009,001-009,2771
001-009,001-011,4
001-009,001-999,1
001-009,011-020,1
001-009,032-024,1
001-009,032-056,5
001-009,032-999,2
001-009,999-999,70
001-010,001-001,109
001-010,001-002,12
001-010,001-003,1
001-010,001-006,1
001-010,001-009,1
001-010,001-010,2782
001-010,001-999,2
001-010,013-048,1
001-010,014-053,2
001-010,024-025,1
001-010,032-056,1
001-010,999-999,77
001-011,001-001,462
001-011,001-002,8
001-011,001-003,1
001-011,001-004,1
001-011,001-005,115
001-011,001-006,47
001-011,001-007,43
001-011,001-008,4
001-011,001-009,1
001-011,001-010,1
001-011,001-011,3613
001-011,001-999,7
001-011,009-005,1
001-011,021-114,1
001-011,032-056,2
001-011,999-999,50
002-001,002-001,7659
002-001,002-002,10
002-001,002-003,1
002-001,002-004,2
002-001,002-005,2
002-001,002-999,1
002-001,004-002,1
002-001,005-030,1
002-001,009-999,1
002-001,014-039,1
002-001,014-120,1
002-001,021-114,1
002-001,025-006,1
002-001,025-017,1
002-001,030-118,1
002-001,999-999,328
002-002,002-001,7
002-002,002-002,13113
002-002,002-004,2
002-002,002-005,1
002-002,002-999,3
002-002,008-019,1
002-002,009-999,3
002-002,014-039,1
002-002,026-055,12
002-002,999-999,513
002-003,002-001,2
002-003,002-002,7
002-003,002-003,4771
002-003,002-004,166
002-003,002-005,2
002-003,002-999,2
002-003,999-999,88
002-004,002-001,11
002-004,002-002,2
002-004,002-003,11
002-004,002-004,23112
002-004,002-005,62
002-004,002-999,3
002-004,009-999,3
002-004,014-039,1
002-004,016-021,1
002-004,021-114,1
002-004,025-006,1
002-004,999-999,821
002-005,002-001,7
002-005,002-002,3
002-005,002-003,5
002-005,002-004,273
002-005,002-005,3610
002-005,002-999,2
002-005,015-099,1
002-005,026-999,1
002-005,999-999,200
003-001,002-001,2
003-001,002-002,1
003-001,003-001,3267
003-001,003-003,25
003-001,003-008,1
003-001,003-009,5
003-001,003-999,3
003-001,014-039,1
003-001,015-999,3
003-001,025-006,2
003-001,026-999,1
003-001,999-999,124
003-002,002-001,18
003-002,002-002,1
003-002,002-004,1
003-002,003-002,2406
003-002,003-003,2
003-002,003-009,2
003-002,003-999,9
003-002,025-017,1
003-002,026-042,1
003-002,999-999,440
003-003,002-001,1
003-003,002-002,1
003-003,003-001,4
003-003,003-003,6053
003-003,003-008,6
003-003,009-999,5
003-003,014-999,1
003-003,019-039,1
003-003,019-046,1
003-003,999-999,209
003-008,002-004,1
003-008,003-003,17
003-008,003-008,6806
003-008,003-999,3
003-008,006-002,1
003-008,008-019,1
003-008,009-999,1
003-008,011-015,1
003-008,014-039,6
003-008,014-120,2
003-008,015-057,1
003-008,015-999,1
003-008,025-001,1
003-008,025-012,1
003-008,030-193,1
003-008,999-999,494
003-009,002-004,1
003-009,002-999,1
003-009,003-001,17
003-009,003-003,10
003-009,003-008,1
003-009,003-009,2046
003-009,018-999,1
003-009,999-999,140
004-001,004-001,3742
004-001,004-002,74
004-001,004-003,6
004-001,004-004,1
004-001,004-005,26
004-001,004-006,4
004-001,004-008,1
004-001,004-009,5
004-001,004-011,1
004-001,004-999,4
004-001,031-033,6
004-001,031-048,21
004-001,031-050,63
004-001,031-056,1
004-001,031-079,1
004-001,031-089,1
004-001,031-101,1
004-001,031-102,4
004-001,031-999,15
004-001,999-999,99
004-002,004-001,4
004-002,004-002,5633
004-002,004-003,7
004-002,004-004,4
004-002,004-005,2
004-002,004-006,11
004-002,004-008,1
004-002,004-009,1
004-002,004-999,2
004-002,009-999,1
004-002,015-999,2
004-002,019-038,1
004-002,020-067,1
004-002,020-482,1
004-002,022-014,1
004-002,031-048,1
004-002,031-050,12
004-002,031-102,1
004-002,031-999,1
004-002,999-999,95
004-003,004-001,3
004-003,004-002,10
004-003,004-003,5689
004-003,004-004,4
004-003,004-007,6
004-003,004-009,6
004-003,004-011,2
004-003,007-999,1
004-003,009-003,1
004-003,009-012,1
004-003,009-999,6
004-003,015-058,1
004-003,015-999,5
004-003,021-114,6
004-003,026-999,1
004-003,027-001,3
004-003,027-003,13
004-003,027-004,3
004-003,027-011,1
004-003,027-999,7
004-003,030-131,1
004-003,030-193,4
004-003,031-050,9
004-003,031-999,2
004-003,999-999,213
004-004,004-001,1
004-004,004-002,176
004-004,004-003,16
004-004,004-004,4761
004-004,004-006,2
004-004,004-009,14
004-004,004-011,1
004-004,004-999,7
004-004,023-004,1
004-004,031-050,5
004-004,031-102,3
004-004,031-999,2
004-004,999-999,121
004-005,004-001,79
004-005,004-002,136
004-005,004-003,13
004-005,004-004,1
004-005,004-005,2974
004-005,004-006,2
004-005,004-008,8
004-005,004-009,2
004-005,004-999,1
004-005,005-030,2
004-005,015-999,1
004-005,023-008,1
004-005,027-004,1
004-005,027-999,1
004-005,031-048,3
004-005,031-050,30
004-005,031-102,1
004-005,031-999,1
004-005,999-999,92
004-006,004-001,3
004-006,004-002,84
004-006,004-004,1
004-006,004-005,1
004-006,004-006,3249
004-006,004-010,3
004-006,004-011,1
004-006,015-999,1
004-006,023-005,1
004-006,031-050,5
004-006,031-079,2
004-006,031-085,1
004-006,031-089,1
004-006,999-999,169
004-007,004-002,6
004-007,004-003,22
004-007,004-007,1561
004-007,004-009,1
004-007,004-999,1
004-007,007-065,18
004-007,007-999,1
004-007,027-003,2
004-007,027-004,2
004-007,027-007,5
004-007,027-011,26
004-007,027-017,1
004-007,027-999,8
004-007,999-999,60
004-008,004-001,20
004-008,004-002,127
004-008,004-003,1
004-008,004-004,1
004-008,004-005,31
004-008,004-006,4
004-008,004-008,1651
004-008,004-999,1
004-008,030-193,1
004-008,031-048,1
004-008,031-050,5
004-008,031-102,1
004-008,999-999,38
004-009,002-999,1
004-009,004-001,1
004-009,004-002,45
004-009,004-003,18
004-009,004-004,13
004-009,004-009,5509
004-009,004-010,1
004-009,004-011,7
004-009,004-999,3
004-009,009-999,1
004-009,016-053,1
004-009,021-114,1
004-009,023-004,1
004-009,023-005,1
004-009,027-001,2
004-009,027-002,1
004-009,027-999,1
004-009,031-050,7
004-009,031-999,2
004-009,999-999,122
004-010,004-002,7
004-010,004-003,4
004-010,004-006,1
004-010,004-009,15
004-010,004-010,3815
004-010,004-011,3
004-010,004-999,1
004-010,014-120,1
004-010,023-002,1
004-010,023-004,163
004-010,023-010,2
004-010,023-999,13
004-010,027-017,1
004-010,027-999,2
004-010,031-050,2
004-010,031-079,2
004-010,999-999,158
004-011,004-001,2
004-011,004-002,9
004-011,004-003,3
004-011,004-004,3
004-011,004-009,30
004-011,004-011,3972
004-011,004-999,1
004-011,007-999,1
004-011,027-001,8
004-011,027-017,1
004-011,030-193,1
004-011,031-050,6
004-011,999-999,125
005-001,005-001,173
005-001,005-008,4
005-001,005-018,18
005-001,005-030,2
005-001,005-031,18
005-001,999-999,22
005-002,005-002,3768
005-002,005-014,21
005-002,005-017,1
005-002,005-020,3
005-002,005-025,8
005-002,005-028,1
005-002,005-030,2
005-002,005-035,1
005-002,006-002,1
005-002,010-007,1
005-002,019-039,1
005-002,019-999,1
005-002,999-999,294
005-003,005-003,1943
005-003,005-018,1
005-003,005-019,19
005-003,005-022,16
005-003,005-025,67
005-003,005-028,12
005-003,005-030,10
005-003,005-032,7
005-003,005-036,19
005-003,005-037,37
005-003,005-038,9
005-003,005-999,1
005-003,014-039,1
005-003,019-039,2
005-003,019-999,1
005-003,999-999,122
005-004,005-004,1993
005-004,005-025,1
005-004,005-027,19
005-004,005-030,267
005-004,005-999,2
005-004,019-039,2
005-004,019-999,1
005-004,999-999,64
005-005,005-005,387
005-005,005-018,20
005-005,019-039,4
005-005,999-999,8
005-006,005-006,2192
005-006,005-010,2
005-006,005-018,259
005-006,005-027,1
005-006,005-030,11
005-006,005-032,2
005-006,005-999,1
005-006,009-999,1
005-006,019-039,1
005-006,019-046,1
005-006,999-999,134
