origin_id,destine_id,weight
001,001,52787
001,009,14
001,010,2
001,011,16
001,013,1
001,014,33
001,015,9
001,016,1
001,018,3
001,019,1
001,020,1
001,021,1
001,022,1
001,024,3
001,026,1
001,029,1
001,030,3
001,032,188
001,999,1306
002,002,52852
002,004,1
002,005,1
002,008,1
002,009,7
002,014,4
002,015,1
002,016,1
002,021,2
002,025,3
002,026,13
002,030,1
002,999,1950
003,002,28
003,003,20683
003,006,1
003,008,1
003,009,6
003,011,1
003,014,10
003,015,5
003,018,1
003,019,2
003,025,5
003,026,2
003,030,1
003,999,1407
004,002,1
004,004,43675
004,005,2
004,007,21
004,009,10
004,014,1
004,015,10
004,016,1
004,019,1
004,020,2
004,021,7
004,022,1
004,023,184
004,026,1
004,027,89
004,030,7
004,031,219
004,999,1292
005,005,98648
005,006,1
005,008,17
005,009,28
005,010,433
005,014,3
005,015,9
005,019,153
005,020,1
005,021,1
005,024,1
005,028,13
005,032,8
005,999,6019
006,005,1
006,006,30898
006,009,9
006,014,142
006,015,5
006,016,10
006,017,1
006,018,1
006,019,4
006,021,3
006,024,2
006,030,1
006,032,1
006,999,1210
007,002,7
007,004,14
007,005,20
007,007,540042
007,008,9
007,009,37
007,011,4
007,012,2
007,013,19
007,014,8
007,015,29
007,016,25
007,017,4
007,018,11
007,019,12
007,020,11
007,021,24
007,022,4
007,023,23
007,025,4
007,026,2
007,027,1517
007,029,2
007,030,40
007,031,14
007,999,28376
008,002,3
008,005,35
008,008,146910
008,009,17
008,010,37
008,011,5
008,014,11
008,015,6
008,016,1
008,017,1
008,018,4
008,019,20
008,021,3
008,022,1
008,024,1
008,025,90
008,026,45
008,027,1
008,030,1
008,032,2
008,999,10440
009,002,1
009,004,2
009,005,2
009,006,1
009,007,3
009,008,3
009,009,136500
009,010,3
009,011,4
009,012,3
009,013,15
009,014,7
009,015,3276
009,016,7
009,017,56
009,019,2
009,020,12
009,021,72
009,022,13
009,023,1
009,024,1
009,026,1
009,028,2
009,029,4
009,030,11
009,031,5
009,032,2
009,999,7358
010,001,22
010,002,1
010,005,682
010,008,81
010,009,17
010,010,102210
010,011,6
010,014,10
010,015,11
010,017,1
010,018,44
010,019,19
010,021,2
010,022,1
010,024,3
010,025,135
010,027,1
010,028,3
010,032,101
010,999,6126
011,001,11
011,002,2
011,003,1
011,005,15
011,006,1
011,007,2
011,008,1
011,009,64
011,010,1
011,011,196053
011,012,1
011,013,4
011,014,62
011,015,31
011,016,566
011,017,3
011,018,4
011,019,8
011,021,8
011,022,1064
011,024,184
011,026,3
011,028,3
011,029,2
011,030,5
011,031,1
011,032,7
011,999,9848
012,001,5
012,002,3
012,003,5
012,005,8
012,006,3
012,007,4
012,009,198
012,011,9
012,012,349533
012,013,2
012,014,25
012,015,583
012,016,464
012,017,485
012,018,1
012,019,4
012,020,48
012,021,306
012,022,5
012,023,1
012,024,9
012,025,5
012,026,1
012,027,1
012,028,2
012,029,3
012,030,21
012,032,1
012,999,16575
013,001,2
013,002,3
013,005,8
013,006,2
013,007,2
013,008,7
013,009,854
013,010,3
013,011,24
013,012,2
013,013,226458
013,014,45
013,015,1661
013,016,7
013,017,8
013,019,25
013,020,2
013,021,318
013,022,352
013,023,1
013,024,196
013,025,1
013,026,2
013,028,25
013,029,308
013,030,181
013,032,8
013,999,9018
014,001,400
014,002,2
014,005,5
014,006,588
014,007,2
014,009,30
014,011,218
014,013,1
014,014,337744
014,015,19
014,016,407
014,017,3
014,018,258
014,019,2
014,021,8
014,022,5
014,023,1
014,024,14
014,025,4
014,026,1
014,027,20
014,028,1
014,029,1
014,030,4
014,032,439
014,999,17610
015,001,2
015,002,1
015,003,1
015,004,2
015,005,13
015,006,3
015,007,8
015,008,4
015,009,26842
015,011,16
015,012,46
015,013,1425
015,014,30
015,015,512324
015,016,131
015,017,350
015,018,1
015,019,18
015,020,7
015,021,148
015,022,329
015,023,3
015,024,7
015,025,2
015,026,5
015,027,2
015,028,1
015,029,45
015,030,27
015,031,6
015,032,4
015,999,23329
016,001,2
016,002,5
016,003,1
016,005,8
016,006,182
016,009,100
016,010,1
016,011,492
016,012,207
016,013,5
016,014,1313
016,015,731
016,016,291355
016,017,8
016,018,19
016,019,3
016,021,3
016,022,168
016,023,1
016,025,2
016,028,1
016,030,2
016,031,2
016,032,2
016,999,15019
017,001,1
017,005,20
017,007,1
017,009,615
017,011,1
017,012,32
017,013,8
017,014,4
017,015,417
017,016,4
017,017,96068
017,019,2
017,021,427
017,022,5
017,024,1
017,025,1
017,026,2
017,028,1
017,029,4
017,030,3
017,031,1
017,032,1
017,999,3872
018,002,3
018,005,1
018,006,1
018,009,10
018,010,13
018,014,553
018,015,5
018,016,1
018,018,68352
018,019,9
018,022,1
