origin_id,destine_id,weight
001-001,001-001,21235
001-001,001-002,16
001-001,001-003,21
001-001,001-005,190
001-001,001-006,29
001-001,001-007,30
001-001,001-008,2
001-001,001-009,6
001-001,001-010,23
001-001,001-011,180
001-001,001-999,14
001-001,002-004,2
001-001,003-008,2
001-001,004-003,1
001-001,005-002,1
001-001,005-030,5
001-001,005-035,1
001-001,005-999,1
001-001,006-002,2
001-001,008-019,5
001-001,008-037,1
001-001,009-004,1
001-001,009-005,3
001-001,009-006,1
001-001,009-007,2
001-001,009-010,1
001-001,009-012,1
001-001,009-015,1
001-001,009-016,2
001-001,009-999,31
001-001,010-005,4
001-001,010-038,1
001-001,011-001,1
001-001,011-007,4
001-001,011-011,1
001-001,011-015,5
001-001,011-017,7
001-001,011-020,23
001-001,011-022,1
001-001,011-027,1
001-001,011-033,1
001-001,011-037,1
001-001,011-999,1
001-001,012-001,1
001-001,012-035,1
001-001,013-048,1
001-001,014-035,7
001-001,014-039,31
001-001,014-053,14
001-001,014-064,3
001-001,014-067,3
001-001,014-073,5
001-001,014-091,4
001-001,014-101,1
001-001,014-116,33
001-001,014-120,3
001-001,014-999,21
001-001,015-033,2
001-001,015-057,1
001-001,015-101,1
001-001,015-104,1
001-001,015-999,10
001-001,016-053,1
001-001,017-007,1
001-001,018-017,2
001-001,019-039,7
001-001,019-048,1
001-001,021-114,1
001-001,022-005,1
001-001,022-011,1
001-001,022-014,10
001-001,022-016,1
001-001,022-999,1
001-001,023-008,1
001-001,024-025,1
001-001,024-028,7
001-001,024-035,1
001-001,024-040,1
001-001,024-046,1
001-001,024-049,1
001-001,025-006,2
001-001,025-017,1
001-001,026-035,1
001-001,028-022,2
001-001,028-027,2
001-001,028-038,1
001-001,028-999,1
001-001,029-033,1
001-001,030-087,1
001-001,030-118,1
001-001,031-050,1
001-001,032-010,5
001-001,032-017,4
001-001,032-024,7
001-001,032-025,1
001-001,032-026,5
001-001,032-034,2
001-001,032-036,1
001-001,032-038,1
001-001,032-039,1
001-001,032-045,2
001-001,032-051,1
001-001,032-052,1
001-001,032-056,20
001-001,032-999,3
001-001,999-999,130
001-002,001-001,891
001-002,001-002,2749
001-002,001-003,3
001-002,001-004,1
001-002,001-005,19
001-002,001-006,49
001-002,001-007,15
001-002,001-008,1
001-002,001-009,21
001-002,001-010,16
001-002,001-011,96
001-002,001-999,11
001-002,008-019,1
001-002,008-030,1
001-002,008-051,1
001-002,010-005,1
001-002,010-007,1
001-002,011-017,1
001-002,011-020,1
001-002,012-999,1
001-002,014-039,2
001-002,014-116,1
001-002,014-999,3
001-002,015-999,1
001-002,016-999,1
001-002,019-039,2
001-002,021-114,2
001-002,023-005,1
001-002,024-025,3
001-002,026-017,2
001-002,026-019,2
001-002,026-036,1
001-002,026-999,12
001-002,030-031,1
001-002,030-193,1
001-002,032-007,2
001-002,032-010,14
001-002,032-017,2
001-002,032-019,1
001-002,032-024,64
001-002,032-026,2
001-002,032-036,2
001-002,032-038,1
001-002,032-042,1
001-002,032-051,3
001-002,032-052,27
001-002,032-056,41
001-002,032-999,3
001-002,999-999,43
001-003,001-001,56
001-003,001-003,4575
001-003,001-005,13
001-003,001-011,1
001-003,001-999,4
001-003,005-035,1
001-003,009-999,3
001-003,011-007,1
001-003,014-039,2
001-003,014-999,1
001-003,015-999,1
001-003,017-007,1
001-003,018-999,1
001-003,024-028,1
001-003,027-999,2
001-003,028-022,1
001-003,028-028,1
001-003,032-015,1
001-003,032-018,1
001-003,032-019,7
001-003,032-025,1
001-003,032-033,1
001-003,032-034,1
001-003,032-044,1
001-003,032-056,9
001-003,999-999,30
001-004,001-001,335
001-004,001-003,1
001-004,001-004,1494
001-004,001-005,66
001-004,001-006,14
001-004,001-007,141
001-004,001-008,2
001-004,001-009,13
001-004,001-011,304
001-004,001-999,4
001-004,006-002,1
001-004,008-037,1
001-004,011-015,4
001-004,019-039,1
001-004,022-014,1
001-004,032-005,1
001-004,032-008,4
001-004,032-010,16
001-004,032-012,1
001-004,032-017,43
001-004,032-019,1
001-004,032-024,2
001-004,032-025,28
001-004,032-026,1
001-004,032-034,1
001-004,032-036,58
001-004,032-038,1
001-004,032-056,11
001-004,032-999,4
001-004,999-999,31
001-005,001-001,2409
001-005,001-002,6
001-005,001-003,37
001-005,001-004,4
001-005,001-005,3923
001-005,001-006,20
001-005,001-007,21
001-005,001-008,9
001-005,001-009,5
001-005,001-010,4
001-005,001-011,275
001-005,001-999,5
001-005,002-004,1
001-005,005-035,1
001-005,007-065,1
001-005,008-017,1
001-005,008-019,1
001-005,009-013,1
001-005,009-014,1
001-005,009-999,14
001-005,010-005,1
001-005,011-015,2
001-005,011-020,3
001-005,014-008,2
001-005,014-035,2
001-005,014-039,6
001-005,014-053,2
001-005,014-064,1
001-005,014-116,1
001-005,014-120,2
001-005,014-999,2
001-005,015-051,1
001-005,015-106,1
001-005,015-999,8
001-005,016-053,1
001-005,016-999,1
001-005,017-007,1
001-005,019-039,4
001-005,022-014,1
001-005,024-015,1
001-005,024-028,5
001-005,025-017,1
001-005,028-018,1
001-005,029-006,1
001-005,030-999,1
001-005,031-050,1
001-005,032-002,1
001-005,032-005,1
001-005,032-010,1
001-005,032-019,2
001-005,032-024,4
001-005,032-025,5
001-005,032-036,2
001-005,032-038,1
001-005,032-045,2
001-005,032-055,1
001-005,032-056,7
001-005,032-999,2
001-005,999-999,46
001-006,001-001,736
001-006,001-002,34
001-006,001-003,4
001-006,001-004,8
001-006,001-005,215
001-006,001-006,2826
001-006,001-007,170
001-006,001-008,12
001-006,001-009,73
001-006,001-010,2
001-006,001-011,848
001-006,001-999,6
001-006,009-999,2
001-006,010-016,1
001-006,011-007,1
001-006,011-015,2
001-006,011-020,2
001-006,012-035,1
001-006,014-008,1
001-006,014-035,1
001-006,014-039,6
001-006,014-053,9
001-006,014-073,1
001-006,014-120,1
001-006,014-999,3
001-006,015-999,3
001-006,018-017,1
001-006,019-039,2
001-006,021-114,2
001-006,022-014,1
001-006,024-025,1
001-006,032-010,2
001-006,032-017,2
001-006,032-024,3
001-006,032-025,1
001-006,032-026,1
001-006,032-034,1
001-006,032-036,3
001-006,032-039,1
001-006,032-046,1
001-006,032-056,11
001-006,032-999,1
001-006,999-999,28
001-007,001-001,635
001-007,001-002,19
001-007,001-003,9
001-007,001-004,69
001-007,001-005,124
001-007,001-006,97
001-007,001-007,3385
001-007,001-008,11
001-007,001-009,63
001-007,001-010,2
001-007,001-011,414
001-007,001-999,6
001-007,005-035,1
001-007,007-999,1
001-007,008-037,1
001-007,011-015,3
001-007,011-023,1
001-007,011-999,1
001-007,014-035,2
001-007,014-039,1
001-007,014-046,2
001-007,014-053,2
001-007,015-999,1
001-007,019-039,1
001-007,022-014,1
