origin_id,destine_id,weight
001,001,62023
001,002,5
001,003,2
001,004,1
001,005,13
001,006,5
001,007,2
001,008,14
001,009,69
001,010,11
001,011,81
001,012,4
001,013,1
001,014,264
001,015,37
001,016,10
001,017,3
001,018,4
001,019,22
001,021,5
001,022,20
001,023,2
001,024,38
001,025,5
001,026,18
001,027,2
001,028,11
001,029,2
001,030,7
001,031,2
001,032,626
001,999,455
002,002,77269
002,003,23
002,004,2
002,005,2
002,006,1
002,007,4
002,008,3
002,009,22
002,010,2
002,011,5
002,012,5
002,013,3
002,014,17
002,015,10
002,016,7
002,018,5
002,019,3
002,020,1
002,022,2
002,024,1
002,025,17
002,026,76
002,028,2
002,030,3
002,031,1
002,032,1
002,999,568
003,001,1
003,002,24
003,003,34242
003,004,1
003,005,1
003,006,1
003,008,1
003,009,27
003,010,1
003,011,3
003,012,1
003,013,2
003,014,14
003,015,9
003,018,2
003,019,6
003,021,3
003,022,2
003,023,2
003,025,19
003,026,2
003,030,1
003,999,386
004,004,56044
004,005,1
004,007,11
004,008,3
004,009,21
004,010,1
004,012,4
004,013,1
004,014,4
004,015,16
004,017,2
004,018,1
004,019,5
004,020,2
004,021,2
004,022,2
004,023,176
004,025,6
004,026,1
004,027,113
004,028,16
004,030,31
004,031,512
004,999,428
005,001,14
005,002,9
005,003,4
005,004,3
005,005,132770
005,006,1
005,007,1
005,008,138
005,009,67
005,010,1544
005,011,18
005,012,10
005,013,8
005,014,22
005,015,35
005,016,4
005,017,4
005,018,4
005,019,699
005,020,2
005,021,11
005,022,15
005,023,3
005,024,16
005,025,11
005,026,82
005,027,2
005,028,95
005,030,10
005,031,1
005,032,103
005,999,1684
006,001,6
006,002,4
006,003,2
006,004,4
006,005,7
006,006,47122
006,007,3
006,008,6
006,009,32
006,010,1
006,011,13
006,012,6
006,013,1
006,014,407
006,015,7
006,016,162
006,018,6
006,019,3
006,020,1
006,022,3
006,023,1
006,024,2
006,025,7
006,026,24
006,028,4
006,030,5
006,032,4
006,999,372
007,002,44
007,003,7
007,004,283
007,005,13
007,006,7
007,007,481077
007,008,10
007,009,412
007,010,3
007,011,11
007,012,19
007,013,3
007,014,67
007,015,208
007,016,27
007,017,5
007,018,8
007,019,91
007,020,299
007,021,42
007,022,12
007,023,458
007,024,4
007,025,29
007,026,404
007,027,2384
007,028,28
007,029,2
007,030,255
007,031,87
007,032,2
007,999,7195
008,001,8
008,002,17
008,003,26
008,004,2
008,005,100
008,006,1
008,007,1
008,008,183687
008,009,44
008,010,117
008,011,13
008,012,3
008,014,17
008,015,16
008,016,5
008,018,2
008,019,36
008,020,4
008,021,1
008,022,6
008,024,10
008,025,97
008,026,151
008,027,2
008,028,6
008,030,3
008,031,1
008,032,31
008,999,3159
009,001,15
009,002,21
009,003,4
009,004,35
009,005,11
009,006,6
009,007,21
009,008,16
009,009,234245
009,010,6
009,011,60
009,012,95
009,013,201
009,014,73
009,015,9972
009,016,57
009,017,224
009,018,4
009,019,64
009,020,32
009,021,201
009,022,111
009,023,27
009,024,17
009,025,11
009,026,19
009,027,14
009,028,21
009,029,23
009,030,91
009,031,15
009,032,4
009,999,3748
010,001,4
010,002,9
010,003,6
010,004,4
010,005,2207
010,006,4
010,007,2
010,008,197
010,009,31
010,010,98117
010,011,14
010,012,14
010,013,2
010,014,38
010,015,25
010,016,3
010,017,1
010,018,25
010,019,106
010,020,5
010,021,1
010,022,11
010,023,2
010,024,13
010,025,121
010,026,31
010,027,1
010,028,11
010,030,32
010,031,1
010,032,356
010,999,1427
011,001,36
011,002,27
011,003,4
011,004,30
011,005,30
011,006,8
011,007,2
011,008,25
011,009,250
011,010,18
011,011,235748
011,012,23
011,013,21
011,014,294
011,015,204
011,016,744
011,017,9
011,018,58
011,019,55
011,020,5
011,021,32
011,022,6096
011,023,5
011,024,591
011,025,27
011,026,89
011,027,7
011,028,29
011,029,4
011,030,19
011,031,1
011,032,36
011,999,2462
012,001,2
012,002,41
012,003,86
012,004,9
012,005,13
012,006,42
012,007,30
012,008,7
012,009,387
012,011,26
012,012,297606
012,013,13
012,014,75
012,015,640
012,016,619
012,017,780
012,018,83
012,019,12
012,020,177
012,021,121
012,022,16
012,023,20
012,024,9
012,025,767
012,026,176
012,027,5
012,028,10
012,029,2
012,030,62
012,031,2
012,032,4
012,999,4378
013,001,28
013,002,26
013,003,17
013,004,41
013,005,97
013,006,34
013,007,38
013,008,35
013,009,4967
013,010,31
013,011,226
013,012,80
013,013,247479
013,014,185
013,015,6046
013,016,58
013,017,69
013,018,9
013,019,326
013,020,43
013,021,591
013,022,1278
013,023,22
013,024,264
013,025,182
013,026,104
013,027,40
013,028,190
013,029,325
013,030,581
013,031,14
013,032,41
013,999,3001
014,001,874
014,002,41
014,003,19
014,004,14
014,005,19
014,006,1134
014,007,7
014,008,13
014,009,212
014,010,13
014,011,1621
014,012,25
014,013,15
014,014,443901
014,015,128
014,016,900
014,017,8
014,018,862
014,019,61
014,020,11
014,021,23
014,022,71
014,023,12
014,024,48
014,025,46
014,026,50
014,027,4
014,028,22
014,029,2
014,030,24
014,031,9
014,032,249
014,999,5186
015,001,56
015,002,56
015,003,32
015,004,69
015,005,69
015,006,38
015,007,59
015,008,70
015,009,104578
015,010,48
015,011,420
015,012,435
015,013,4833
015,014,382
015,015,568797
015,016,358
015,017,1289
015,018,23
015,019,284
015,020,108
015,021,526
015,022,2209
015,023,56
015,024,103
015,025,61
015,026,85
015,027,62
015,028,133
015,029,146
015,030,293
015,031,25
015,032,55
015,999,8715
016,001,14
016,002,28
016,003,5
016,004,10
016,005,26
016,006,162
016,007,19
016,008,10
016,009,1063
016,010,15
016,011,2097
016,012,504
016,013,39
016,014,1788
016,015,1572
016,016,357594
016,017,21
016,018,44
016,019,41
016,020,29
016,021,32
016,022,785
016,023,9
016,024,34
016,025,46
016,026,43
016,027,23
016,028,9
016,029,4
016,030,33
016,031,2
016,032,23
016,999,5237
017,001,1
017,002,3
017,003,3
017,004,15
017,005,7
017,006,1
017,007,8
017,008,5
017,009,1926
017,010,3
017,011,14
017,012,412
017,013,29
017,014,24
017,015,1354
017,016,17
017,017,135442
017,018,3
017,019,17
017,020,32
017,021,520
017,022,28
017,023,7
017,024,4
017,025,22
017,026,10
017,027,5
017,028,5
017,029,7
017,030,38
017,031,4
017,032,4
017,999,1324
018,001,1
018,002,30
018,003,8
018,004,6
018,005,2
018,006,23
018,007,2
018,008,6
018,009,26
018,010,12
018,011,12
018,012,3
018,013,2
018,014,1374
018,015,13
018,016,8
018,017,2
018,018,72513
018,019,6
018,020,8
018,021,5
018,022,4
018,023,4
018,024,5
018,025,119
018,026,24
018,027,2
018,028,4
018,030,7
018,031,1
018,032,5
018,999,871
019,001,6
019,002,9
019,004,15
019,005,444
019,006,4
019,007,5
019,008,19
019,009,136
019,010,13
019,011,24
019,012,1
019,013,7
019,014,39
019,015,59
019,016,8
019,017,4
019,018,5
019,019,191116
019,020,7
019,021,13
019,022,18
019,023,3
019,024,97
019,025,12
019,026,14
019,027,8
019,028,484
019,029,2
019,030,25
019,031,10
019,032,32
019,999,2389
020,001,10
020,002,152
020,003,22
020,004,268
020,005,24
020,006,14
020,007,195
020,008,20
020,009,1069
020,010,5
020,011,17
020,012,325
020,013,17
020,014,63
020,015,770
020,016,46
020,017,41
020,018,12
020,019,109
020,020,605244
020,021,576
020,022,41
020,023,14
020,024,13
020,025,190
020,026,536
020,027,80
020,028,23
020,029,9
020,030,1719
020,031,11
020,032,4
020,999,8240
021,001,25
021,002,246
021,003,74
021,004,96
021,005,54
021,006,18
021,007,123
021,008,56
021,009,3840
021,010,15
021,011,131
021,012,369
021,013,594
021,014,188
021,015,3268
021,016,68
021,017,957
021,018,13
021,019,214
021,020,1064
021,021,524661
021,022,157
021,023,45
021,024,64
021,025,49
021,026,644
021,027,200
021,028,98
021,029,1572
021,030,3442
021,031,37
021,032,19
021,999,5564
022,001,21
022,002,7
022,004,6
022,005,15
022,006,1
022,007,7
022,008,15
022,009,375
022,010,6
022,011,523
022,012,18
022,013,109
022,014,82
022,015,294
022,016,57
022,017,11
022,018,3
022,019,112
022,020,7
022,021,23
022,022,98273
022,023,3
022,024,69
022,025,19
022,026,5
022,027,2
022,028,11
022,029,1
022,030,13
022,031,1
022,032,16
022,999,1146
023,004,40
023,005,1
023,007,10
023,009,42
023,012,2
023,014,11
023,015,12
023,016,1
023,017,2
023,018,1
023,019,7
023,020,2
023,021,4
023,022,5
023,023,68123
023,024,2
023,026,1
023,027,13
023,028,4
023,029,1
023,030,9
023,031,124
023,999,564
024,001,67
024,002,18
024,003,3
024,004,24
024,005,87
024,006,6
024,007,2
024,008,35
024,009,101
024,010,25
024,011,198
024,012,13
024,013,89
024,014,129
024,015,78
024,016,18
024,018,3
024,019,857
024,020,7
024,021,15
024,022,254
024,023,4
024,024,171485
024,025,170
024,026,23
024,027,8
024,028,564
024,030,756
024,031,2
024,032,355
024,999,2237
025,001,2
025,002,61
025,003,28
025,004,46
025,005,10
025,006,9
025,007,9
025,008,49
025,009,41
025,010,78
025,011,6
025,012,6
025,014,47
025,015,13
025,016,5
025,018,55
025,019,14
025,020,8
025,021,5
025,022,3
025,023,2
025,024,2
025,025,107379
025,026,219
025,027,8
025,028,5
025,030,6
025,031,2
025,032,6
025,999,1260
026,001,1
026,002,335
026,003,13
026,004,5
026,005,3
026,006,2
026,007,3
026,008,88
026,009,48
026,010,7
026,011,4
026,012,5
026,014,15
026,015,22
026,016,9
026,018,3
026,019,26
026,020,3
026,021,3
026,022,3
026,023,1
026,024,6
026,025,161
026,026,157602
026,027,1
026,028,1
026,029,2
026,030,6
026,031,2
026,032,12
026,999,1998
027,001,1
027,002,3
027,004,1177
027,005,6
027,006,1
027,007,668
027,008,2
027,009,34
027,010,2
027,011,5
027,012,1
027,013,1
027,014,5
027,015,17
027,016,6
027,018,1
027,019,30
027,020,16
027,021,10
027,022,2
027,023,45
027,024,4
027,025,6
027,026,2
027,027,85587
027,028,11
027,029,1
027,030,209
027,031,14
027,032,3
027,999,1164
028,001,3
028,002,5
028,003,1
028,004,199
028,005,26
028,006,4
028,007,7
028,008,2
028,009,50
028,011,14
028,012,3
028,013,10
028,014,19
028,015,32
028,016,4
028,017,1
028,018,3
028,019,454
028,020,12
028,021,8
028,022,13
028,023,2
028,024,266
028,025,2
028,026,8
028,027,34
028,028,130825
028,029,1
028,030,450
028,031,6
